year,area_name_en,room_id,median_annual_rent,min_annual_rent,max_annual_rent,median_transaction_amount,rental_yield_percentage,rooms_en
2025.0,Al Hebiah Fourth,0.0,40000.0,12000,86400,569170.0,7.0,Studio
2025.0,Al Hebiah Fourth,1.0,55000.0,15000,469200,810000.0,7.0,1 BHK
2025.0,Al Hebiah Fourth,2.0,77000.0,5000,2125714,1200000.0,6.0,2 BHK
2025.0,Al Hebiah Fourth,3.0,190000.0,35000,410000,2150000.0,9.0,3 BHK
2025.0,Al Hebiah Fourth,4.0,315000.0,600,675000,3480000.0,9.0,4 BHK
2025.0,Al Hebiah Second,0.0,47000.0,29901,98268,560000.0,8.0,Studio
2025.0,Al Hebiah Second,1.0,68000.0,24000,88000,960000.0,7.0,1 BHK
2025.0,Al Hebiah Second,2.0,90000.0,50000,130000,1352000.0,7.0,2 BHK
2025.0,Al Hebiah Second,3.0,115000.0,80000,135300,1500000.0,8.0,3 BHK
2025.0,Al Hebiah Sixth,1.0,60000.0,43000,80000,863000.0,7.0,1 BHK
2025.0,Al Hebiah Sixth,2.0,120000.0,77000,150000,1310000.0,9.0,2 BHK
2025.0,Al Hebiah Sixth,3.0,180000.0,6667,320000,1526400.0,12.0,3 BHK
2025.0,Al Hebiah Third,0.0,45000.0,20000,78000,550000.0,8.0,Studio
2025.0,Al Hebiah Third,1.0,70000.0,100,1880000,1037000.0,7.0,1 BHK
2025.0,Al Hebiah Third,2.0,120000.0,48000,210000,1909000.0,6.0,2 BHK
2025.0,Al Hebiah Third,3.0,195000.0,21000,350000,2586400.0,8.0,3 BHK
2025.0,Al Jadaf,0.0,54000.0,5800,446400,914000.0,6.0,Studio
2025.0,Al Jadaf,1.0,68000.0,10000,140000,1275367.5,5.0,1 BHK
2025.0,Al Jadaf,2.0,85000.0,7725,315000,2000000.0,4.0,2 BHK
2025.0,Al Jadaf,3.0,125000.0,10000,800000,2400000.0,5.0,3 BHK
2025.0,Al Jadaf,4.0,307500.0,133100,750000,7650000.0,4.0,4 BHK
2025.0,Al Khairan First,1.0,100000.0,43250,220000,1866888.0,5.0,1 BHK
2025.0,Al Khairan First,2.0,150000.0,20000,1470000,2816888.0,5.0,2 BHK
2025.0,Al Khairan First,3.0,215000.0,100000,600000,3760000.0,6.0,3 BHK
2025.0,Al Khairan First,4.0,447500.0,250000,850000,6399944.0,7.0,4 BHK
2025.0,Al Kheeran,0.0,30180.0,27300,44000,920000.0,3.0,Studio
2025.0,Al Kheeran,1.0,45000.0,21525,130000,1272000.0,4.0,1 BHK
2025.0,Al Kheeran,2.0,144000.0,52800,3132632,2960500.0,5.0,2 BHK
2025.0,Al Kheeran,3.0,200000.0,66500,330000,3280000.0,6.0,3 BHK
2025.0,Al Kifaf,1.0,110000.0,73600,250000,1800000.0,6.0,1 BHK
2025.0,Al Kifaf,2.0,155000.0,13962,275000,2504777.0,6.0,2 BHK
2025.0,Al Kifaf,3.0,220000.0,132300,270000,3800777.0,6.0,3 BHK
2025.0,Al Kifaf,4.0,250000.0,100000,400000,8228686.0,3.0,4 BHK
2025.0,Al Merkadh,0.0,50000.0,1,4620000,662000.0,8.0,Studio
2025.0,Al Merkadh,1.0,83160.0,12,700000,1260000.0,7.0,1 BHK
2025.0,Al Merkadh,2.0,135000.0,45000,270000,2160000.0,6.0,2 BHK
2025.0,Al Merkadh,3.0,181000.0,26290,420000,3050000.0,6.0,3 BHK
2025.0,Al Merkadh,4.0,800000.0,35700,1850000,4450000.0,18.0,4 BHK
2025.0,Al Nahda First,1.0,44100.0,5000,3990000,313750.5,14.0,1 BHK
2025.0,Al Nahda First,2.0,58433.0,10000,2005000,401870.5,15.0,2 BHK
2025.0,Al Nahda First,3.0,85000.0,25000,3990000,549146.0,15.0,3 BHK
2025.0,Al Nahda First,4.0,97520.0,94000,110000,554884.5,18.0,4 BHK
2025.0,Al Qusais Industrial Fifth,1.0,40000.0,26365,59000,432600.0,9.0,1 BHK
2025.0,Al Qusais Industrial Fifth,2.0,50000.0,23333,148500,798121.0,6.0,2 BHK
2025.0,Al Qusais Industrial Fifth,3.0,61000.0,33000,90000,913800.0,7.0,3 BHK
2025.0,Al Qusais Industrial Fourth,0.0,38079.0,25000,57000,352500.0,11.0,Studio
2025.0,Al Qusais Industrial Fourth,1.0,42000.0,25000,65000,464000.0,9.0,1 BHK
2025.0,Al Qusais Industrial Fourth,3.0,73000.0,65000,115500,1100000.0,7.0,3 BHK
2025.0,Al Safouh First,0.0,55000.0,38000,118000,635278.0,9.0,Studio
2025.0,Al Safouh First,1.0,85000.0,47000,130000,1240000.0,7.0,1 BHK
2025.0,Al Safouh First,2.0,100000.0,50000,180000,1918320.0,5.0,2 BHK
2025.0,Al Safouh First,3.0,176000.0,120000,900000,3687141.5,5.0,3 BHK
2025.0,Al Safouh Second,1.0,80000.0,70132,165000,2350000.0,3.0,1 BHK
